model_name,model_config,seq_len,batch_size,model_size_mb,activation_memory_mb,kv_cache_mb,reserved_memory_mb,total_memory_mb
llama3_2,meta-llama/Llama-3.2-1B-Instruct,32768,1,2357.13,8152.88,1024.03,14486.0,11534.04
llama3_2,meta-llama/Llama-3.2-1B-Instruct,40960,1,2357.13,10189.0,1280.03,17226.0,13826.16
llama3_2,meta-llama/Llama-3.2-1B-Instruct,49152,1,2357.13,12225.12,1537.02,20478.0,16119.28
llama3_2,meta-llama/Llama-3.2-1B-Instruct,57344,1,2357.13,14261.25,1792.03,22292.0,18410.41
llama3_2,meta-llama/Llama-3.2-1B-Instruct,65536,1,2357.13,16297.38,2048.03,21726.0,20702.54
phi3,microsoft/Phi-3-mini-128k-instruct,256,1,7288.13,57.3,195.75,7566.0,7541.18
phi3,microsoft/Phi-3-mini-128k-instruct,512,1,7288.13,113.84,376.93,7916.0,7778.9
phi3,microsoft/Phi-3-mini-128k-instruct,1024,1,7288.13,378.54,744.0,8528.0,8410.67
phi3,microsoft/Phi-3-mini-128k-instruct,2048,1,7288.13,1393.19,1488.0,10502.0,10169.32
phi3,microsoft/Phi-3-mini-128k-instruct,4096,1,7288.13,5353.73,2976.0,17892.0,15617.87
mamba-1.4b,state-spaces/mamba-1.4b,256,1,2617.22,267.74,0,3102.0,2884.96
mamba-1.4b,state-spaces/mamba-1.4b,512,1,2617.22,71.2,0,3036.0,2688.43
mamba-1.4b,state-spaces/mamba-1.4b,1024,1,2617.22,122.31,0,3036.0,2739.54
mamba-1.4b,state-spaces/mamba-1.4b,2048,1,2617.22,224.53,0,3036.0,2841.75
mamba-1.4b,state-spaces/mamba-1.4b,4096,1,2617.22,428.97,0,3430.0,3046.19
mamba-1.4b,state-spaces/mamba-1.4b,8192,1,2617.22,838.22,0,4078.0,3455.44
mamba-1.4b,state-spaces/mamba-1.4b,16384,1,2617.22,1656.34,0,5504.0,4273.57
mamba-1.4b,state-spaces/mamba-1.4b,24576,1,2617.22,2473.34,0,6930.0,5090.57
mamba-1.4b,state-spaces/mamba-1.4b,32768,1,2617.22,3291.09,0,8228.0,5908.32
mamba-1.4b,state-spaces/mamba-1.4b,40960,1,2617.22,4108.84,0,9526.0,6726.07
mamba-1.4b,state-spaces/mamba-1.4b,49152,1,2617.22,4926.84,0,11398.0,7544.07
mamba-1.4b,state-spaces/mamba-1.4b,57344,1,2617.22,5744.97,0,12792.0,8362.19
mamba-1.4b,state-spaces/mamba-1.4b,65536,1,2617.22,6563.09,0,14186.0,9180.32
mamba-1.4b,state-spaces/mamba-1.4b,73728,1,2617.22,7379.84,0,15580.0,9997.07
